title,Ethnicity,Gender,Religious_Affiliation,Political_Party,docid
George Washington,,male,Episcopal Church,independent politician,11968
Douglas Adams,White British,male,,,8091
George W. Bush,,male,United Methodist Church,Republican Party,3414021
Diego Velázquez,Spaniards,male,,,77423
Augusto Pinochet,,male,Catholicism,independent politician,18933396
Charles Baudelaire,,male,Catholicism,,5804
Nicolaus Copernicus,Poles,male,Catholicism,,323592
Pierre Corneille,,male,Catholicism,,58193
Andrei Tarkovsky,,male,Eastern Orthodoxy,,676
Meryl Streep,,female,atheism,Democratic Party,63390
Donald Tusk,,male,Catholic Church,Civic Platform,648724
Italo Balbo,,male,,National Fascist Party,351734
Narendra Modi,Gujarati people,male,Hinduism,Bharatiya Janata Party,444222
Indira Gandhi,,female,Hinduism,Indian National Congress,15179
Hector Berlioz,,male,atheism,,53424
Ban Ki-moon,,male,Confucianism,independent politician,2346975
Kofi Annan,,male,Protestantism,,16844
Leonard Cohen,,male,Judaism,,19965375
Osama bin Laden,,male,Sunni Islam,,22468
Friedrich Hayek,,male,agnosticism,,11646
Titus,,male,ancient Roman religion,,55251
Richard Wagner,,male,Lutheranism,,25452
Jacques Chirac,,male,Catholicism,Union for a Popular Movement,39764
Georges Pompidou,,male,Catholic Church,Union of Democrats for the Republic,251592
Helmut Kohl,,male,Catholic Church,Christian Democratic Union,41896
Richard von Weizsäcker,,male,Lutheranism,Christian Democratic Union,338909
Willi Stoph,,male,atheism,Communist Party of Germany,429865
"Wilhelm II, German Emperor",,male,Lutheranism,,50450
Tom DeLonge,,male,,Democratic Party,1413814
Mitt Romney,,male,The Church of Jesus Christ of Latter-day Saints,Republican Party,426208
Albrecht Dürer,Germans,male,Lutheranism,,2402
Hokusai,Japanese people,male,,,43357
Fra Angelico,Italians,male,Catholic Church,,11457
Matsuo Bashō,Japanese people,male,,,90625
Philippe Pétain,,male,Catholic Church,,66083
Mao Zedong,Han Chinese people,male,atheism,Chinese Communist Party,19527
Chuck Berry,African Americans,male,Baptists,,45964
Quintus Curtius Rufus,Romans,male,,,617834
Søren Kierkegaard,Danes,male,Lutheranism,,27069
Marie Curie,Poles,female,agnosticism,,20408
Simone de Beauvoir,,female,atheism,,62034
Sophocles,Greeks,male,,,26984
John Coltrane,African Americans,male,,,53536
Ögedei Khan,Mongols,male,Tengrism,,739857
Ingmar Bergman,Swedes,male,atheism,,14626
Ivan the Terrible,,male,Eastern Orthodoxy,,70718
Constantine the Great,,male,Christianity,,7236
Peter the Great,Russians,male,Eastern Orthodoxy,,44356
Archimedes,Greeks,male,,,1844
Augustin-Louis Cauchy,,male,Catholic Church,,1842
Parmigianino,Italians,male,,,2213412
Sima Qian,Han Chinese people,male,,,27636
Muhammad,Arabs,male,Hanif,,18934
Salman Khan,Pashtuns,male,Islam,,302167
Martin Luther,Germans,male,Catholicism,,7567080
Harivansh Rai Bachchan,,male,Hinduism,,3217927
Richard Nixon,,male,Quakers,Republican Party,25473
Al-Battani,,male,Islam,,858914
Fulgencio Batista,,male,Roman Catholic,Liberal Party of Cuba,50206
Shiva,,male,Shaivism,,28849
Anne Hutchinson,,female,Protestantism,,318482
David Paterson,,male,,Democratic Party,3059677
Thomas Jefferson,,male,deism,Democratic-Republican Party,29922
John Tyler,,male,Episcopal Church,Democratic Party,19732690
James Buchanan,,male,Presbyterianism,Democratic Party,19732383
Beth Ditto,,female,atheism,,19636760
Simon the Zealot,,male,Early Christianity,,314682
Leopold I of Belgium,,male,Lutheranism,,56470
Luchino Visconti,Italians,male,,,44822
Moby,,cisgender man,Christianity,,19361
William Herschel,Germans,male,Lutheranism,,33971
Vladimir the Great,,male,Christianity,,40575
José Batlle y Ordóñez,,male,,Colorado Party,511579
Lil Wayne,African Americans,male,Catholic Church,,168540
Émile Durkheim,,male,Judaism,,38218
Wolfgang Schäuble,,male,evangelical church,Christian Democratic Union,1526841
Bruce Lee,Hong Kong American,male,atheist,,37313
Andy Lau,Cantonese people,male,Buddhism,,310210
